Date,Site 1 UP,Site 2 DW,Site 3 DS,WBAdiff1,WBAdiff2,Alum UP,Alum Int 1,Alum Int 2,Alum DS,Aldiff1,Aldiff2,Aldiff3
08/13/21,934,806,417,-128,-517,364,352,335,339,-12,-29,-25
09/03/21,1098,874,444,-224,-654,325,326,314,326,1,-11,1
09/17/21,,969,474,,,391,371,370,358,-20,-21,-33
10/01/21,957,864,479,-93,-478,368,347,347,340,-21,-21,-28
10/15/21,1365,915,481,-450,-884,407,399,395,375,-8,-12,-32
11/05/21,635,812,429,177,-206,350,357,355,336,7,5,-14
11/19/21,527,525,273,-2,-254,238,240,240,245,2,2,7
12/05/21,609,748,384,139,-225,336,330,334,343,-6,-2,7
12/17/21,558,735,375,177,-183,326,333,328,330,7,2,4
12/30/21,217,327,195,110,-22,216,214,210,212,-2,-6,-4
01/14/22,430,719,378,289,-52,341,338,334,320,-3,-7,-21
01/28/22,678,950,444,272,-234,383,593,398,401,210,15,18
02/11/22,476,437,193,-39,-283,,356,361,439,,,
02/26/22,249,401,230,152,-19,319,,214,333,,-105,14
03/11/22,347,446,284,99,-63,266,262,261,264,-4,-5,-2
03/24/22,399,447,220,48,-179,250,261,266,297,11,16,47
04/08/22,493,858,444,365,-49,432,422,419,455,-10,-13,23
04/22/22,438,617,312,179,-126,270,269,262,273,-1,-8,3
05/06/22,302,272,139,-30,-163,172,170,188,225,-2,16,53
05/20/22,781,425,76,-356,-705,94,94,107,148,0,13,54
06/09/22,802,555,259,-247,-543,235,234,218,233,-1,-17,-2
06/27/22,1001,650,365,-351,-636,401,444,455,465,43,54,64
07/18/22,603,530,241,-73,-362,370,365,343,288,-5,-27,-82
07/29/22,763,889,443,126,-320,370,360,347,330,-10,-23,-40
08/13/22,,918,448,,,377,,,326,,,-51
